scenario,limit_mode,frequency_multiplier,severity_multiplier,design,mean,mean_mcse,sd,var95,var95_mcse,var99,var99_mcse,tvar99,tvar99_mcse,model_mean,model_sd,mean_check_z,simulated_claims
Sensitivity,Unlimited,0.7,1.1,B,72355.86788407224,17.58887277372091,12437.211211725496,93648.20327486136,41.52552033695542,103598.18599926255,79.87343411296622,108692.54851208275,98.77976309318254,72341.89858447181,12424.732656486702,0.7950099812195126,36132471
Sensitivity,Limited,0.7,1.15,A,81229.91563701675,23.857163571915333,16869.562141578008,110371.8583821883,59.85019054341755,124245.70144115904,107.69387299899437,131455.01265074697,139.93984655665903,81206.71121536907,16845.708910793604,0.9740168245500472,36132471
Sensitivity,Limited,0.7,1.15,B,76108.7405753076,18.45040509242058,13046.406556489403,98439.74158177874,43.82424859346924,108870.53730123327,84.26249018007974,114215.3690660489,103.60036945442839,76094.12528444966,13033.383623543448,0.7929307978009614,36132471
Sensitivity,Unlimited,0.7,1.15,A,81229.91563701675,23.857163571915333,16869.562141578008,110371.8583821883,59.85019054341755,124245.70144115904,107.69387299899437,131455.01265074697,139.93984655665903,81206.71121536907,16845.708910793604,0.9740168245500472,36132471
Sensitivity,Unlimited,0.7,1.15,B,76108.7405753076,18.45040509242058,13046.406556489403,98439.74158177874,43.82424859346924,108870.53730123327,84.26249018007974,114215.3690660489,103.60036945442839,76094.12528444966,13033.383623543448,0.7929307978009614,36132471
Sensitivity,Limited,0.7,1.2,A,86783.65875442483,25.207402785234418,17824.325445539922,117546.92588069064,63.48342236432661,132175.02344633875,114.27681523619464,139791.94267522063,147.6691793992271,86759.39777917835,17799.4839277544,0.9637976125944734,36132471
Sensitivity,Limited,0.7,1.2,B,79863.65817690005,19.31210519144238,13655.720539856837,103240.38118349941,45.717562303609796,114151.20323130582,87.94084639536824,119740.53007101633,108.36059206578018,79848.39685520715,13642.157866546544,0.7910320467250428,36132471
Sensitivity,Unlimited,0.7,1.2,A,86783.65875442483,25.207402785234418,17824.325445539922,117546.92588069064,63.48342236432661,132175.02344633875,114.27681523619464,139791.94267522063,147.6691793992271,86759.39777917835,17799.4839277544,0.9637976125944734,36132471
Sensitivity,Unlimited,0.7,1.2,B,79863.65817690005,19.31210519144238,13655.720539856837,103240.38118349941,45.717562303609796,114151.20323130582,87.94084639536824,119740.53007101633,108.36059206578018,79848.39685520715,13642.157866546544,0.7910320467250428,36132471
Sensitivity,Limited,0.7,1.25,A,92378.15767550906,26.56103347059734,18781.48688238224,124765.85822046091,65.89638851510014,140155.89006614595,119.28062855021363,148175.38724459024,155.35458400099884,92352.80535201926,18755.73641462631,0.9558035718871676,36132471
Sensitivity,Limited,0.7,1.25,B,83620.37287723858,20.17395822100071,14265.1426614437,108037.14239017908,47.74006052375397,119433.80783933747,91.33199288624985,125267.8537783942,113.12349867361053,83604.46179002116,14251.04062503061,0.7894748154550655,36132471
Sensitivity,Unlimited,0.7,1.25,A,92378.15767550906,26.56103347059734,18781.48688238224,124765.85822046091,65.89638851510014,140155.89006614595,119.28062855021363,148175.38724459024,155.35458400099884,92352.80535201926,18755.73641462631,0.9558035718871676,36132471
Sensitivity,Unlimited,0.7,1.25,B,83620.37287723858,20.17395822100071,14265.1426614437,108037.14239017908,47.74006052375397,119433.80783933747,91.33199288624985,125267.8537783942,113.12349867361053,83604.46179002116,14251.04062503061,0.7894748154550655,36132471
