scenario,limit_mode,frequency_multiplier,severity_multiplier,design,expected_retention_per_claim,expected_retention_annual_per_vehicle,retention_share_of_losses,mc_retention_per_claim,mc_retention_annual_per_vehicle,mc_retention_share,expected_below_deductible,mc_below_deductible,expected_at_limit,mc_at_limit
Sensitivity,Unlimited,0.6,1.2,B,922.9029409948394,57.16592787790669,0.4551158842446035,922.9551113031455,57.16891391386639,0.45511063967415694,0.08003317624604972,0.08000321078887054,0.0,0.0
Sensitivity,Limited,0.6,1.25,A,834.3608729663736,51.68150557276173,0.3949945707476743,834.348246475376,51.68050156804368,0.39496171496699356,0.3363933804957248,0.33643649318569474,6.197091962144393e-97,0.0
Sensitivity,Limited,0.6,1.25,B,955.4200768150906,59.18008576876011,0.4523051779544511,955.4741984177092,59.18318402195987,0.452300019336002,0.07634730029777143,0.07631674470954404,2.6990896335538135e-156,0.0
Sensitivity,Unlimited,0.6,1.25,A,834.3608729663736,51.68150557276173,0.3949945707476743,834.348246475376,51.68050156804368,0.39496171496699356,0.3363933804957248,0.33643649318569474,0.0,0.0
Sensitivity,Unlimited,0.6,1.25,B,955.4200768150906,59.18008576876011,0.4523051779544511,955.4741984177092,59.18318402195987,0.452300019336002,0.07634730029777143,0.07631674470954404,0.0,0.0
Sensitivity,Limited,0.6,1.3,A,840.947025771032,52.0894612954059,0.38280049970027646,840.9356246435507,52.08853143948861,0.38276926134254075,0.3241655026808055,0.32419774998093354,3.24629250128382e-93,0.0
Sensitivity,Limited,0.6,1.3,B,987.9153369275198,61.19288864698967,0.44970072198149214,987.9714469396858,61.196101422208386,0.44969566027473085,0.07295710927661907,0.07293663386758441,2.725225294322492e-150,0.0
Sensitivity,Unlimited,0.6,1.3,A,840.947025771032,52.0894612954059,0.38280049970027646,840.9356246435507,52.08853143948861,0.38276926134254075,0.3241655026808055,0.32419774998093354,0.0,0.0
Sensitivity,Unlimited,0.6,1.3,B,987.9153369275198,61.19288864698967,0.44970072198149214,987.9714469396858,61.196101422208386,0.44969566027473085,0.07295710927661907,0.07293663386758441,0.0,0.0
Sensitivity,Limited,0.7,1.0,A,792.5479270990403,57.2734772341336,0.46899989321835855,792.5533725500102,57.27382349923088,0.4689239763143063,0.41183640070522204,0.411819966589055,4.113028205962841e-121,0.0
Sensitivity,Limited,0.7,1.0,B,792.5479270990403,57.2734772341336,0.46899989321835855,792.6569846570623,57.281311022137494,0.4689852796951459,0.09862267526693197,0.09858655944122947,2.51637685423477e-195,0.0
